MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2146220	Fbxo4	F-box protein 4	15		positive regulation of telomere maintenance via telomerase			ISO	Q9UKT5 	J:164563 	
MGI:2146220	Fbxo4	F-box protein 4	15		telomere maintenance			ISO	Q9UKT5 	J:164563 	
MGI:1353651	Gnl3	guanine nucleotide binding protein-like 3 (nucleolar)	14		positive regulation of telomere maintenance			ISO	Q9BVP2 	J:164563 	
MGI:2448557	Gnl3l	guanine nucleotide binding protein-like 3 (nucleolar)-like	X		negative regulation of telomere maintenance via telomerase			ISO	Q9NVN8 	J:164563 	
MGI:1917565	Hdac8	histone deacetylase 8	X		regulation of telomere maintenance			ISO	Q9BY41 	J:164563 	
MGI:2445066	Hmbox1	homeobox containing 1	14		positive regulation of telomere maintenance via telomerase			ISO	Q6NT76 	J:164563 	
MGI:104819	Hnrnpa2b1	heterogeneous nuclear ribonucleoprotein A2/B1	6		positive regulation of telomere maintenance via telomere lengthening			ISO	RGD:1310403 	J:155856 	
MGI:104819	Hnrnpa2b1	heterogeneous nuclear ribonucleoprotein A2/B1	6		telomere capping			ISO	RGD:1310403 	J:155856 	
MGI:107795	Hnrnpc	heterogeneous nuclear ribonucleoprotein C	14		negative regulation of telomere maintenance via telomerase			ISO	P07910 	J:164563 	
MGI:101947	Hnrnpd	heterogeneous nuclear ribonucleoprotein D	5		positive regulation of telomere capping			IMP		J:188017 	
MGI:101947	Hnrnpd	heterogeneous nuclear ribonucleoprotein D	5		regulation of telomere maintenance			IMP		J:188017 	
MGI:1858195	Hnrnpu	heterogeneous nuclear ribonucleoprotein U	1		negative regulation of telomere maintenance via telomerase			ISO	Q00839 	J:164563 	
MGI:96250	Hsp90aa1	heat shock protein 90, alpha (cytosolic), class A member 1	12		telomere maintenance via telomerase			ISO	P07900 	J:164563 	
MGI:96247	Hsp90ab1	heat shock protein 90 alpha (cytosolic), class B member 1	17		telomere maintenance via telomerase			ISO	P08238 	J:164563 	
MGI:96244	Hspa1a	heat shock protein 1A	17		telomere maintenance			IMP	MGI:3028843 	J:87581 	
MGI:1277962	Hus1	HUS1 checkpoint clamp component	11		telomere maintenance			IBA	PTN000307391 	J:161428 	
MGI:1277962	Hus1	HUS1 checkpoint clamp component	11		telomere maintenance			IBA	PTN000307391 S000004279 SPAC20G4.04c 	J:265628 	
MGI:2671003	Hus1b	HUS1 checkpoint clamp component B	13		telomere maintenance			IBA	PTN000307391 	J:161428 	
MGI:2671003	Hus1b	HUS1 checkpoint clamp component B	13		telomere maintenance			IBA	PTN000307391 S000004279 SPAC20G4.04c 	J:265628 	
MGI:96794	Lmna	lamin A	3		regulation of telomere maintenance			ISO	P02545 	J:164563 	
MGI:1919534	LTO1	ABCE maturation factor	7		telomere maintenance			IBA	PTN000307391 	J:161428 	
MGI:1919534	LTO1	ABCE maturation factor	7		telomere maintenance			IBA	PTN000307391 S000004279 SPAC20G4.04c 	J:265628 	
MGI:1346871	Map2k7	mitogen-activated protein kinase kinase 7	8		positive regulation of telomere capping			ISO	O14733 	J:164563 	
MGI:1346871	Map2k7	mitogen-activated protein kinase kinase 7	8		positive regulation of telomere maintenance via telomerase			ISO	O14733 	J:164563 	
MGI:1346875	Map3k4	mitogen-activated protein kinase kinase kinase 4	17		positive regulation of telomere capping			ISO	Q9Y6R4 	J:164563 	
MGI:1346875	Map3k4	mitogen-activated protein kinase kinase kinase 4	17		positive regulation of telomere maintenance via telomerase			ISO	Q9Y6R4 	J:164563 	
MGI:1346858	Mapk1	mitogen-activated protein kinase 1	16		positive regulation of telomere capping			ISO	P28482 	J:164563 	
MGI:1346858	Mapk1	mitogen-activated protein kinase 1	16		positive regulation of telomere maintenance via telomerase			ISO	P28482 	J:164563 	
MGI:1346859	Mapk3	mitogen-activated protein kinase 3	7		positive regulation of telomere capping			ISO	P27361 	J:164563 	
MGI:1346859	Mapk3	mitogen-activated protein kinase 3	7		positive regulation of telomere maintenance via telomerase			ISO	P27361 	J:164563 	
MGI:2652894	Mapk15	mitogen-activated protein kinase 15	15		positive regulation of telomere capping			ISO	Q8TD08 	J:164563 	
MGI:2652894	Mapk15	mitogen-activated protein kinase 15	15		positive regulation of telomere maintenance via telomerase			ISO	Q8TD08 	J:164563 	
MGI:1333110	Mapkapk5	MAP kinase-activated protein kinase 5	5		positive regulation of telomere capping			ISO	Q8IW41 	J:164563 	
MGI:1333110	Mapkapk5	MAP kinase-activated protein kinase 5	5		positive regulation of telomere maintenance via telomerase			ISO	Q8IW41 	J:164563 	
MGI:1858420	Mcrs1	microspherule protein 1	15		negative regulation of telomere maintenance via telomere lengthening			ISO	Q96EZ8 	J:164563 	
MGI:1100512	Mre11a	MRE11A homolog A, double strand break repair nuclease	9		positive regulation of telomere maintenance			ISO	P49959 	J:164563 	
MGI:1100512	Mre11a	MRE11A homolog A, double strand break repair nuclease	9		telomere maintenance			IBA	P49959 PTN000015644 S000004837 SPAC13C5.07 	J:265628 	
MGI:1100512	Mre11a	MRE11A homolog A, double strand break repair nuclease	9		telomere maintenance			IBA	PTN000015644 	J:161428 	
MGI:1100512	Mre11a	MRE11A homolog A, double strand break repair nuclease	9		telomeric 3' overhang formation			ISO	P49959 	J:164563 	
MGI:97250	Myc	myelocytomatosis oncogene	15		regulation of telomere maintenance			ISO	P01106 	J:164563 	
MGI:1917167	Nabp2	nucleic acid binding protein 2	10		positive regulation of telomere capping			IMP		J:219806 	
MGI:1917167	Nabp2	nucleic acid binding protein 2	10		positive regulation of telomere capping			ISO	Q9BQ15 	J:164563 	
MGI:2682306	Naf1	nuclear assembly factor 1 ribonucleoprotein	8		positive regulation of telomere maintenance via telomere lengthening			ISO	Q96HR8 	J:164563 	
MGI:2138939	Nat10	N-acetyltransferase 10	2		negative regulation of telomere maintenance via telomerase			ISO	Q9H0A0 	J:164563 	
MGI:1351625	Nbn	nibrin	4		negative regulation of telomere capping			ISO	O60934 	J:164563 	
MGI:1351625	Nbn	nibrin	4		positive regulation of telomere maintenance			ISO	O60934 	J:164563 	
MGI:1351625	Nbn	nibrin	4		t-circle formation			ISO	O60934 	J:164563 	
MGI:1351625	Nbn	nibrin	4		telomere capping			IBA	PTN000255549 	J:265628 	
MGI:1351625	Nbn	nibrin	4		telomere capping			IBA	PTN000255549 	J:161428 	
MGI:1351625	Nbn	nibrin	4		telomere maintenance			ISO	O60934 	J:164563 	
MGI:1351625	Nbn	nibrin	4		telomere maintenance via telomere trimming			ISO	O60934 	J:164563 	
MGI:1351625	Nbn	nibrin	4		telomeric 3' overhang formation			ISO	O60934 	J:164563 	
MGI:109359	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2	1		positive regulation of telomere capping			ISO	P51955 	J:164563 	
MGI:109359	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2	1		positive regulation of telomere maintenance via telomerase			ISO	P51955 	J:164563 	
MGI:1890645	Nek7	NIMA (never in mitosis gene a)-related expressed kinase 7	1		positive regulation of telomere capping			ISO	Q8TDX7 	J:164563 	
MGI:1890645	Nek7	NIMA (never in mitosis gene a)-related expressed kinase 7	1		positive regulation of telomere maintenance via telomerase			ISO	Q8TDX7 	J:164563 	
MGI:1098547	Nhp2	NHP2 ribonucleoprotein	11		telomere maintenance via telomerase			ISO	Q9NX24 	J:164563 	
MGI:1913431	Nop10	NOP10 ribonucleoprotein	2		telomere maintenance via telomerase			ISO	Q9NPE3 	J:164563 	
MGI:1915751	Nsmce2	NSE2/MMS21 homolog, SMC5-SMC6 complex SUMO ligase	15		telomere maintenance via recombination			ISO	Q96MF7 	J:164563 	
MGI:1921358	Parn	poly(A)-specific ribonuclease (deadenylation nuclease)	16		positive regulation of telomere maintenance via telomerase			ISO	O95453 	J:164563 	
MGI:1340806	Parp1	poly (ADP-ribose) polymerase family, member 1	1		negative regulation of telomere maintenance via telomere lengthening			IMP		J:228143 	
MGI:1340806	Parp1	poly (ADP-ribose) polymerase family, member 1	1		telomere maintenance			IMP	MGI:1857862 	J:83068 	
MGI:1891258	Parp3	poly (ADP-ribose) polymerase family, member 3	9		telomere maintenance			ISO	Q9Y6F1 	J:73065 	
MGI:2685589	Parp4	poly (ADP-ribose) polymerase family, member 4	14	NOT	telomere maintenance via telomerase			IGI	MGI:109573 	J:91080 	
MGI:97503	Pcna	proliferating cell nuclear antigen	2		mitotic telomere maintenance via semi-conservative replication			IGI	Q0VGM9 	J:202812 	
MGI:2143057	Pif1	PIF1 5'-to-3' DNA helicase	9		negative regulation of telomere maintenance via telomerase			ISO	Q9H611 	J:164563 	
MGI:2143057	Pif1	PIF1 5'-to-3' DNA helicase	9		regulation of telomere maintenance			ISO	Q9H611 	J:164563 	
MGI:2143057	Pif1	PIF1 5'-to-3' DNA helicase	9		telomere maintenance			IEA	IPR010285 	J:72247 	
MGI:1919650	Pinx1	PIN2/TERF1 interacting, telomerase inhibitor 1	14		negative regulation of telomere maintenance via telomerase			ISO	Q96BK5 	J:164563 	
MGI:1919650	Pinx1	PIN2/TERF1 interacting, telomerase inhibitor 1	14		telomere maintenance via telomerase			ISO	Q96BK5 	J:72504 	
MGI:101937	Pkib	protein kinase inhibitor beta, cAMP dependent, testis specific	10		positive regulation of telomere capping			ISO	Q9C010 	J:164563 	
MGI:101937	Pkib	protein kinase inhibitor beta, cAMP dependent, testis specific	10		positive regulation of telomere maintenance via telomerase			ISO	Q9C010 	J:164563 	
MGI:104662	Pml	promyelocytic leukemia	9		negative regulation of telomere maintenance via telomerase			ISO	P29590 	J:164563 	
MGI:104662	Pml	promyelocytic leukemia	9		positive regulation of telomere maintenance			ISO	P29590 	J:164563 	
MGI:1891698	Pnkp	polynucleotide kinase 3'- phosphatase	7		positive regulation of telomere capping			ISO	Q96T60 	J:164563 	
MGI:1891698	Pnkp	polynucleotide kinase 3'- phosphatase	7		positive regulation of telomere maintenance via telomerase			ISO	Q96T60 	J:164563 	
MGI:2141503	Pot1a	protection of telomeres 1A	6		negative regulation of telomere maintenance via telomerase			ISO	Q9NUX5 	J:164563 	
MGI:2141503	Pot1a	protection of telomeres 1A	6		positive regulation of telomere maintenance via telomerase			ISO	Q9NUX5 	J:164563 	
MGI:2141503	Pot1a	protection of telomeres 1A	6		regulation of telomere maintenance via telomerase			IBA	PTN000376531 	J:161428 	
MGI:2141503	Pot1a	protection of telomeres 1A	6		regulation of telomere maintenance via telomerase			IBA	PTN000376531 Q9NUX5 S000002379 	J:265628 	
MGI:2141503	Pot1a	protection of telomeres 1A	6		regulation of telomere maintenance via telomerase			ISO	Q9NUX5 	J:164563 	
MGI:2141503	Pot1a	protection of telomeres 1A	6		telomere capping			IBA	MGI:1920086 PTN000376531 Q9NUX5 S000002379 SPAC26H5.06 	J:265628 	
MGI:2141503	Pot1a	protection of telomeres 1A	6		telomere capping			IBA	PTN000376531 	J:161428 	
MGI:2141503	Pot1a	protection of telomeres 1A	6		telomere capping			ISO	Q9NUX5 	J:164563 	
MGI:2141503	Pot1a	protection of telomeres 1A	6		telomere maintenance			IEA	IPR011564 IPR028389 	J:72247 	
MGI:2141503	Pot1a	protection of telomeres 1A	6		telomere maintenance via telomerase			ISO	Q9NUX5 	J:164563 	
MGI:2141503	Pot1a	protection of telomeres 1A	6		telomeric D-loop disassembly			ISO	Q9NUX5 	J:164563 	
MGI:2141503	Pot1a	protection of telomeres 1A	6	NOT	telomeric loop formation			IGI	H7BX60 	J:240381 	
MGI:2141503	Pot1a	protection of telomeres 1A	6	NOT	telomeric loop formation			IMP		J:240381 	
MGI:1920086	Pot1b	protection of telomeres 1B	17		protection from non-homologous end joining at telomere			IDA		J:115639 	
MGI:1920086	Pot1b	protection of telomeres 1B	17		regulation of telomere maintenance via telomerase			IBA	PTN000376531 	J:161428 	
MGI:1920086	Pot1b	protection of telomeres 1B	17		regulation of telomere maintenance via telomerase			IBA	PTN000376531 Q9NUX5 S000002379 	J:265628 	
MGI:1920086	Pot1b	protection of telomeres 1B	17		telomere capping			IBA	MGI:1920086 PTN000376531 Q9NUX5 S000002379 SPAC26H5.06 	J:265628 	
MGI:1920086	Pot1b	protection of telomeres 1B	17		telomere capping			IBA	PTN000376531 	J:161428 	
MGI:1920086	Pot1b	protection of telomeres 1B	17		telomere capping			IDA		J:115639 	
MGI:1920086	Pot1b	protection of telomeres 1B	17		telomere maintenance in response to DNA damage			IDA		J:115639 	
MGI:1920086	Pot1b	protection of telomeres 1B	17	NOT	telomeric loop formation			IGI	Q91WC1 	J:240381 	
MGI:1920086	Pot1b	protection of telomeres 1B	17	NOT	telomeric loop formation			IMP		J:240381 	
MGI:1289273	Ppp1r10	protein phosphatase 1, regulatory subunit 10	17		positive regulation of telomere maintenance			ISO	Q96QC0 	J:164563 	
MGI:97601	Prkcq	protein kinase C, theta	2		positive regulation of telomere capping			ISO	Q04759 	J:164563 	
MGI:97601	Prkcq	protein kinase C, theta	2		positive regulation of telomere maintenance via telomerase			ISO	Q04759 	J:164563 	
MGI:104779	Prkdc	protein kinase, DNA activated, catalytic polypeptide	16		telomere capping			ISO	P78527 	J:164563 	
MGI:104779	Prkdc	protein kinase, DNA activated, catalytic polypeptide	16		telomere maintenance			IBA	MGI:104779 PTN001673367 	J:265628 	
MGI:104779	Prkdc	protein kinase, DNA activated, catalytic polypeptide	16		telomere maintenance			IBA	PTN001673367 	J:161428 	
MGI:104779	Prkdc	protein kinase, DNA activated, catalytic polypeptide	16		telomere maintenance			IMP	MGI:1857113 	J:88560 	
MGI:1929282	Ptges3	prostaglandin E synthase 3	10		telomere maintenance via telomerase			IBA	MGI:1929282 PTN000532600 Q15185 	J:265628 	
MGI:1929282	Ptges3	prostaglandin E synthase 3	10		telomere maintenance via telomerase			IBA	PTN000532600 	J:161428 	
MGI:1929282	Ptges3	prostaglandin E synthase 3	10		telomere maintenance via telomerase			IDA		J:238470 	
MGI:1929282	Ptges3	prostaglandin E synthase 3	10		telomere maintenance via telomerase			ISO	Q15185 	J:164563 	
MGI:109292	Rad50	RAD50 double strand break repair protein	11		negative regulation of telomere capping			ISO	Q92878 	J:164563 	
MGI:109292	Rad50	RAD50 double strand break repair protein	11		positive regulation of telomere maintenance			ISO	Q92878 	J:164563 	
MGI:109292	Rad50	RAD50 double strand break repair protein	11		telomere capping			IBA	PTN000429848 	J:265628 	
MGI:109292	Rad50	RAD50 double strand break repair protein	11		telomere capping			IBA	PTN000429848 	J:161428 	
MGI:109292	Rad50	RAD50 double strand break repair protein	11		telomere maintenance			IEA	IPR004584 	J:72247 	
MGI:109292	Rad50	RAD50 double strand break repair protein	11		telomere maintenance via recombination			IBA	PTN000429848 S000005194 SPAC1556.01c 	J:265628 	
MGI:109292	Rad50	RAD50 double strand break repair protein	11		telomere maintenance via recombination			IBA	PTN000429848 	J:161428 	
MGI:109292	Rad50	RAD50 double strand break repair protein	11		telomere maintenance via telomerase			IBA	PTN000429848 	J:161428 	
MGI:109292	Rad50	RAD50 double strand break repair protein	11		telomere maintenance via telomerase			IBA	PTN000429848 Q92878 	J:265628 	
MGI:109292	Rad50	RAD50 double strand break repair protein	11		telomere maintenance via telomerase			ISO	Q92878 	J:164563 	
MGI:109292	Rad50	RAD50 double strand break repair protein	11		telomeric 3' overhang formation			ISO	Q92878 	J:164563 	
MGI:97890	Rad51	RAD51 recombinase	2		telomere maintenance via recombination	is upstream of telomere capping		IGI	P02340 	J:228560 	
MGI:97890	Rad51	RAD51 recombinase	2		telomere maintenance via telomere lengthening			IGI	P02340 	J:228560 	
MGI:2150020	Rad51c	RAD51 paralog C	11		telomere maintenance via recombination	is upstream of telomere capping		IGI	P02340 	J:228560 	
MGI:1261809	Rad51d	RAD51 paralog D	11		telomere maintenance			IBA	MGI:1261809 O75771 PTN000534427 	J:265628 	
MGI:1261809	Rad51d	RAD51 paralog D	11		telomere maintenance			IBA	PTN000534427 	J:161428 	
MGI:1261809	Rad51d	RAD51 paralog D	11		telomere maintenance			IGI	P02340 	J:228117 	
MGI:1261809	Rad51d	RAD51 paralog D	11		telomere maintenance			ISO	O75771 	J:164563 	
MGI:1261809	Rad51d	RAD51 paralog D	11		telomere maintenance via recombination			IC	GO:0000724 GO:0000784 	J:228117 	
MGI:1931028	Recql4	RecQ protein-like 4	15		telomere maintenance			ISO	O94761 	J:164563 	
MGI:1931028	Recql4	RecQ protein-like 4	15		telomeric D-loop disassembly			IBA	PTN002299856 	J:161428 	
MGI:1931028	Recql4	RecQ protein-like 4	15		telomeric D-loop disassembly			IBA	O94761 PTN002299856 	J:265628 	
MGI:1931028	Recql4	RecQ protein-like 4	15		telomeric D-loop disassembly			ISO	O94761 	J:164563 	
MGI:1098622	Rif1	replication timing regulatory factor 1	2		telomere maintenance			IBA	MGI:1098622 PTN001116630 S000000479 SPAC6F6.17 	J:265628 	
MGI:1098622	Rif1	replication timing regulatory factor 1	2		telomere maintenance			IBA	PTN001116630 	J:161428 	
MGI:1098622	Rif1	replication timing regulatory factor 1	2		telomere maintenance			IMP		J:213416 	
MGI:1098622	Rif1	replication timing regulatory factor 1	2		telomere maintenance in response to DNA damage			ISO	Q5UIP0 	J:164563 	
